"session_id","Total_requests","Total_Bytes","Total_GET_requests","Total_POST_requests","Total_3xx_responses","Total_4xx_responses","per_image_requests","per_css_request","per_js_requests","Depth_SD","Max_requests_per_page","Average_requests_per_page","Max_sequential_request","per_sequential_requests","Session_time","Browsing_speed","SD_request_time"
7dg3853c6l0blec3okri7u3299,42,54528,30,12,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.5971398192373549,12,2.8,42,1.0,26.0,0.5769230769230769,1.0224243120754233
01o7p78e2bnu1814jn5k4uqke4,43,44549,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6135305096871125,13,2.6875,43,1.0,31.0,0.5161290322580645,1.2635421122982442
bthk3e1tfcka1m2l41sqtfpbr0,43,49281,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.7015396804185282,13,2.5294117647058822,43,1.0,36.0,0.4722222222222222,1.4774307138854503
lq8dub264g9l1e0ust78o4q9ui,43,48959,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.5743762341966729,13,2.6875,43,1.0,33.0,0.48484848484848486,1.507148999629735
7104paf2tksmr2e4k28l2a0g4f,42,49422,30,12,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.7315376902732008,12,2.4705882352941178,42,1.0,30.0,0.5666666666666667,1.2205719636167902
fqf1qhnskah73laqhn8vaf3rfm,39,42918,27,12,0.0,0.0,0.0,0.02564102564102564,0.1282051282051282,0.5756395979652218,12,2.7857142857142856,39,1.0,20.0,0.7,0.8124604880899928
1o8bhjhm5k72l4gp4t22njhofd,44,57615,32,12,0.0,0.0,0.0,0.022727272727272728,0.11363636363636363,0.6833316535624049,13,2.4444444444444446,44,1.0,31.0,0.5806451612903226,1.253713492254573
6bvij40r8omc5phrrhkh2o7g8v,39,48154,27,12,0.0,0.0,0.0,0.02564102564102564,0.1282051282051282,0.5936326616815499,12,2.6,39,1.0,29.0,0.5172413793103449,1.2345028838164844
ksho0o7olvo6iah5gjo6tinp3v,43,50867,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.5929092457666029,13,2.6875,43,1.0,23.0,0.6956521739130435,0.8449256802132534
cmf8pvjupq0vghfst3ciguemms,43,51287,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.622283170244635,13,2.8666666666666667,43,1.0,146.0,0.10273972602739725,5.085956656408974
4brmbia6h899nmpvf2l1qgt2jm,45,50804,33,12,0.0,0.0,0.0,0.15555555555555556,0.1111111111111111,0.5691665988829199,12,2.8125,45,1.0,154.0,0.1038961038961039,4.87391646711298
601c5bov228724sv354hsjijb0,35,38948,23,12,0.0,0.0,0.0,0.02857142857142857,0.14285714285714285,0.5897076411585799,12,2.6923076923076925,35,1.0,114.0,0.11403508771929824,4.115079288546019
se6tdqu752aqh6e17t75jvilqu,41,38267,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6053499339507735,12,3.1538461538461537,41,1.0,142.0,0.09154929577464789,5.414963734201058
1c414c34a3mtpaafer5lt5vvj2,37,39913,25,12,0.0,0.0,0.0,0.02702702702702703,0.13513513513513514,0.5630450447567474,12,2.8461538461538463,37,1.0,112.0,0.11607142857142858,3.935194534746226
s4itu9pg46e3pnb700mqbqetra,43,49928,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6196703532313594,13,2.5294117647058822,43,1.0,135.0,0.1259259259259259,5.051278426018033
5rj1tnibe9ls6e30nstentpfoh,43,48797,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6309144170349087,13,2.6875,43,1.0,128.0,0.125,3.9502038339695917
kq259hljltf8cofepgru4e5nfr,40,75450,28,12,0.0,0.0,0.0,0.025,0.125,0.6000000000000001,12,2.3529411764705883,40,1.0,135.0,0.1259259259259259,5.0974871260259205
tpopok2jdsm81rbm3ar7pkj1ak,43,49677,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6444840214209776,13,2.388888888888889,43,1.0,133.0,0.13533834586466165,3.9462313696379967
d6pjskm59p8eml8i5sl3ui4qfp,43,51823,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.591996374946877,13,2.8666666666666667,43,1.0,124.0,0.12096774193548387,3.8531732759133854
610qgeukfa2eaqtesji37lfrh7,44,57554,32,12,0.0,0.0,0.0,0.022727272727272728,0.11363636363636363,0.6347381838076791,13,2.4444444444444446,44,1.0,141.0,0.1276595744680851,4.702898262360744
jij714b81gib6j0edvr6qv9u8n,41,50655,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6811824411594606,12,2.7333333333333334,41,1.0,142.0,0.1056338028169014,4.569771094099656
8cb1ubgg1ej1ggamv29nhq36f0,43,55980,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6196703532313594,13,2.5294117647058822,43,1.0,131.0,0.1297709923664122,4.02291973324069
fnfnrgeld9b5gltnk0l910b7hp,43,53222,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6764204452208831,13,2.5294117647058822,43,1.0,143.0,0.11888111888111888,5.446231597670798
sj9tpi8eghe206ohaffcht92h4,41,50464,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6053499339507735,12,2.7333333333333334,41,1.0,146.0,0.10273972602739725,5.137375150641572
lh1vo5umn4d5igedhgc72ta772,44,59891,32,12,0.0,0.0,0.0,0.022727272727272728,0.11363636363636363,0.6833316535624049,13,2.588235294117647,44,1.0,115.0,0.14782608695652175,4.118781312977449
9d2pb34kuqc935tsagi9jfmotr,41,52140,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6208742468955052,12,2.5625,41,1.0,141.0,0.11347517730496454,5.203417172176165
i1amp3mrqeufq0clj26kn6kco6,44,59910,32,12,0.0,0.0,0.0,0.022727272727272728,0.11363636363636363,0.616575453011388,13,2.933333333333333,44,1.0,113.0,0.13274336283185842,3.427149141731276
2h5rept2cah2lqu3q4o99smupd,42,55123,30,12,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.6375441828093279,12,2.4705882352941178,42,1.0,121.0,0.14049586776859505,4.1759081188144025
pccj98vh9qtplf14oejps74daf,43,42619,31,12,0.0,0.0,0.0,0.11627906976744186,0.11627906976744186,0.5809300463626417,12,2.6875,43,1.0,154.0,0.1038961038961039,5.02659234582845
44jg252hdbvtafg865qn3qvi8o,41,48955,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.5518882194626713,12,2.9285714285714284,41,1.0,141.0,0.09929078014184398,4.601424914448518
t1f1vpoq5bviuguflv3c7r1m1i,43,44257,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.591996374946877,13,2.5294117647058822,43,1.0,161.0,0.10559006211180125,5.984837520888366
bk67nh5a0hl3v89n2cc6up95ht,41,48213,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.5421002627047041,12,2.9285714285714284,41,1.0,114.0,0.12280701754385964,3.7449946766183873
lol3qmnm070bfiec7503joii19,41,46834,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6160649239178092,12,2.411764705882353,41,1.0,134.0,0.12686567164179105,4.62244993769882
6qoppolmcso7602lo56rb0i1iu,50,58844,38,12,0.0,0.0,0.0,0.22,0.1,0.5528109984434102,12,3.125,50,1.0,129.0,0.12403100775193798,4.613415220853203
a6umhii4ghq2rprh6c082kt10l,40,53990,28,12,0.0,0.0,0.0,0.025,0.125,0.6000000000000001,12,2.3529411764705883,40,1.0,128.0,0.1328125,4.136423575989287
48sh2dvjsabsgd2ck8tlt04cd2,44,58714,32,12,0.0,0.0,0.0,0.022727272727272728,0.11363636363636363,0.6492207662311681,13,2.4444444444444446,44,1.0,179.0,0.1005586592178771,6.220924102913881
va6f8jsmvsjbclasd4rb4357qn,43,84311,31,12,0.0,0.0,0.0,0.046511627906976744,0.11627906976744186,0.60732859800933,12,2.6875,43,1.0,132.0,0.12121212121212122,3.700379294431977
3k02va28s8i6u55poq55d3pn7c,43,53078,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6309144170349087,13,2.388888888888889,43,1.0,155.0,0.11612903225806452,5.212416012970001
84krefftcpohr12qe014h5agg4,42,50023,30,12,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.5971398192373549,12,2.8,42,1.0,143.0,0.1048951048951049,5.623333716414828
6e0vtib8kcudasn4gkb7b52lmi,43,55007,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6037560458487056,13,3.3076923076923075,43,1.0,117.0,0.1111111111111111,3.8296613572758065
unb2o9renu51sve3i0kqi604th,43,50776,31,12,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.6037560458487056,13,2.8666666666666667,43,1.0,120.0,0.125,4.5727104553644375
q65jm6jihcr4i61hice7tl7qcb,42,82042,30,12,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.6388765649999399,12,2.625,42,1.0,144.0,0.1111111111111111,4.8064582403602065
pjh2clpmj98l7mlou0rsernk9u,41,52424,29,12,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.6208742468955052,12,2.5625,41,1.0,165.0,0.09696969696969697,5.528144419763152
l2tls9ukffib96g0uddp9k9c4m,46,47062,34,12,0.0,0.0,0.0,0.21739130434782608,0.10869565217391304,0.5235475903822737,12,2.875,46,1.0,124.0,0.12903225806451613,4.004723109450246
vpem37eakuh12eqj9nb99cpk98,57,62442,44,13,0.0,0.0,0.0,0.22807017543859648,0.08771929824561403,0.5624989312940841,13,3.5625,57,1.0,311.0,0.05144694533762058,10.249638719244619
lv5nbfos801glb5c8m79kgon7r,54,92066,41,13,0.0,0.0,0.0,0.2222222222222222,0.09259259259259259,0.5580192286414579,13,3.0,54,1.0,335.0,0.05373134328358209,10.669061588137344
j1bgobvbjbfckjsi7uau5tfp1s,53,57334,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5269524544818468,13,3.3125,53,1.0,373.0,0.04289544235924933,12.076739320258163
g7hkch1qhb40st6ahs0koe4cml,59,63730,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.5667204575356097,14,3.933333333333333,59,1.0,358.0,0.04189944134078212,10.98668594374251
rn9ua6kjssv61di6cud5a4uk9n,53,56600,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5269524544818468,13,3.3125,53,1.0,347.0,0.04610951008645533,10.969195353671715
24p9g4vknl8658896iaim0s991,59,70236,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.5359792644353185,14,3.933333333333333,59,1.0,338.0,0.04437869822485207,10.418091351390514
cs3aihfburr5c7u1gvh6hho6qi,57,74965,44,13,0.0,0.0,0.0,0.22807017543859648,0.08771929824561403,0.6122781883022859,13,3.1666666666666665,57,1.0,357.0,0.05042016806722689,11.153673481546965
7sov66c85ju4dba6tlq2svq2cn,53,56407,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5269524544818469,13,3.3125,53,1.0,322.0,0.049689440993788817,10.313663874363462
k7q0tctsbbbhju48ql35fipt7b,59,62984,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.6148595643124426,14,3.4705882352941178,59,1.0,375.0,0.04533333333333334,11.616415491740966
cj930a7kr4t6e8p778bj4ilhu2,54,71144,41,13,0.0,0.0,0.0,0.2222222222222222,0.09259259259259259,0.5459038138142102,13,3.375,54,1.0,372.0,0.043010752688172046,11.613636089092708
3anop7496piqmb18uqiso0aems,53,53743,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5160299747614091,13,3.3125,53,1.0,338.0,0.047337278106508875,10.76371685662521
74fas23ijrgep58og1ia8giv9r,59,69280,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.623212756300008,14,3.1052631578947367,59,1.0,368.0,0.051630434782608696,10.78501625852455
2kgh70cmf4mhhebk1nlm7iar4e,54,64629,41,13,0.0,0.0,0.0,0.2222222222222222,0.09259259259259259,0.5328701692569688,13,3.6,54,1.0,340.0,0.04411764705882353,10.448515098522869
li1citv767lpesc2bt9c1eotbm,59,68160,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.5953955278050947,14,3.4705882352941178,59,1.0,353.0,0.04815864022662889,11.201530654219296
e0d54kstbj2pvv6qvr976476op,56,65673,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5486532677049005,13,3.2941176470588234,56,1.0,370.0,0.04594594594594595,11.900898182533133
r986sph7484e1vvord75e81q6f,54,61521,41,13,0.0,0.0,0.0,0.2222222222222222,0.09259259259259259,0.546845298527163,13,3.176470588235294,54,1.0,382.0,0.04450261780104712,11.726595053555341
2nbg4n3n6r9rjm8i3ssgkun3ut,50,45765,37,13,0.0,0.0,0.0,0.22,0.1,0.5015974481593781,13,3.5714285714285716,50,1.0,394.0,0.03553299492385787,12.860233279377168
tuj638u2p0m3kosnv3mubq7r1f,53,56000,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5628842977425018,13,3.533333333333333,53,1.0,372.0,0.04032258064516129,11.63840513945546
4h65el6r17t2u33da36n7m6shg,56,63178,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.524890659167824,13,3.7333333333333334,56,1.0,360.0,0.041666666666666664,11.165727445525217
hretqun6idgv9pbr91ufn8pge6,53,57132,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5269524544818468,13,3.1176470588235294,53,1.0,314.0,0.054140127388535034,10.724419422388896
kcjcrt2p6t6vi19so38e7audcb,56,65968,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5486532677049006,13,3.2941176470588234,56,1.0,351.0,0.04843304843304843,10.965027313216863
ei15k59g1d79phsjoos1i12d30,59,62873,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.5465937456473593,14,3.4705882352941178,59,1.0,345.0,0.04927536231884058,10.78419049918819
k05ut8rvm798ab7pgnolv2st1f,60,92094,47,13,0.0,0.0,0.0,0.23333333333333334,0.08333333333333333,0.5587684871413403,14,3.5294117647058822,60,1.0,368.0,0.04619565217391304,10.939937030084872
ih6epc7qm8aubllr3d4dhctqso,54,87895,41,13,0.0,0.0,0.0,0.2222222222222222,0.09259259259259259,0.546845298527163,13,3.0,54,1.0,336.0,0.05357142857142857,10.975843284343537
u50bckimf1irqshqir6leujcd7,56,57868,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5380899704756915,13,3.2941176470588234,56,1.0,334.0,0.05089820359281437,10.467576274440253
oi1lr6ejccf45a4uel0npm9fv4,51,81654,38,13,0.0,0.0,0.0,0.21568627450980393,0.09803921568627451,0.5376984000314544,13,3.0,51,1.0,351.0,0.04843304843304843,11.185857770931603
u8qol5a9jgqhlmucgtu8a6sd55,57,71980,44,13,0.0,0.0,0.0,0.22807017543859648,0.08771929824561403,0.5641380768706501,13,3.3529411764705883,57,1.0,353.0,0.04815864022662889,10.728611683196249
7iqofp00r9lg7coi2l06ripgic,53,59870,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5507365856349594,13,3.1176470588235294,53,1.0,377.0,0.04509283819628647,12.279236005609327
nidpf2p3dre08hrms80l6s4r07,60,94877,47,13,0.0,0.0,0.0,0.23333333333333334,0.08333333333333333,0.591373166640339,14,3.5294117647058822,60,1.0,377.0,0.04509283819628647,11.547137692471189
v1anlmpl7qj59jjbvr9o1cfdga,56,59720,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5038119992737816,13,3.5,56,1.0,357.0,0.04481792717086835,11.336670114531616
26vbvibjbmj8melqbk3v0f98lg,60,73693,47,13,0.0,0.0,0.0,0.23333333333333334,0.08333333333333333,0.5722761571129799,14,3.1578947368421053,60,1.0,322.0,0.059006211180124224,10.238760775710224
5a8tebqtg7ehm75oojeu75uho6,57,73417,44,13,0.0,0.0,0.0,0.22807017543859648,0.08771929824561403,0.5553400628541899,13,3.1666666666666665,57,1.0,397.0,0.04534005037783375,12.08299502821856
vk2q8chnhptdkk8o8hnitlfrl4,56,63024,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5038119992737815,13,4.0,56,1.0,343.0,0.04081632653061224,11.32327328369067
cecisqp58si6pvi4rmpmptpv4g,56,58949,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5380899704756915,13,3.5,56,1.0,377.0,0.042440318302387266,11.6947654215596
lmg6hik8gag0jugp27h6qpim4e,51,59058,38,13,0.0,0.0,0.0,0.21568627450980393,0.09803921568627451,0.6062597974015806,13,3.1875,51,1.0,358.0,0.0446927374301676,11.676170128334928
ukusu8ahnf4sr71vcctcjk9qba,56,64641,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.47882455992114004,13,3.7333333333333334,56,1.0,337.0,0.04451038575667656,10.88657605793971
iqn8hsc70v29r5815sv642aeh0,56,59813,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5270126629776324,13,3.5,56,1.0,341.0,0.0469208211143695,10.727595899152345
vuejdbf9g64agugq93tfekha8j,53,62891,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5269524544818468,13,3.533333333333333,53,1.0,342.0,0.043859649122807015,10.569743285534779
1np35kml8m5i7a1at5jeo1kbj5,53,58552,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5402951344632586,13,3.3125,53,1.0,350.0,0.045714285714285714,10.769172674800958
t2f4beuendeiprugkeoks17kqv,59,70041,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.5662133250335616,14,3.6875,59,1.0,359.0,0.04456824512534819,10.813187390660204
p23n9e7fgc16bbf1s0l2dvbjb6,53,55627,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.500622609864966,13,3.533333333333333,53,1.0,380.0,0.039473684210526314,12.497148126078798
hjagioo7ckqbdrl0ssivbte57q,59,61493,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.623212756300008,14,3.6875,59,1.0,372.0,0.043010752688172046,11.533671027287864
2ug2ev7dhmgn6780sn51jc7s6i,59,67205,46,13,0.0,0.0,0.0,0.23728813559322035,0.0847457627118644,0.5455415911671554,14,3.4705882352941178,59,1.0,403.0,0.04218362282878412,12.16155730211555
ughg8a2grt5bm8pih1b1n40lt5,51,60261,38,13,0.0,0.0,0.0,0.21568627450980393,0.09803921568627451,0.5082933881104205,13,3.1875,51,1.0,355.0,0.04507042253521127,11.285876622999112
s6ue7sbdb5bphs1phjhtu44abk,56,65622,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5598719788068172,13,3.2941176470588234,56,1.0,341.0,0.04985337243401759,10.363529434846932
r9uf7f3fpiekosg8m33hcuqt79,56,64108,43,13,0.0,0.0,0.0,0.23214285714285715,0.08928571428571429,0.5380899704756915,13,3.5,56,1.0,376.0,0.0425531914893617,11.211783160258365
ikrs0ssfifs59f9mlcq9a8qj2n,53,57353,40,13,0.0,0.0,0.0,0.22641509433962265,0.09433962264150944,0.5513826111774512,13,3.533333333333333,53,1.0,351.0,0.042735042735042736,11.098574470920978
j9b7c6ilojfpbhl0nbti3cqfi1,47,54193,34,13,0.0,0.0,0.0,0.2127659574468085,0.10638297872340426,0.5306367622697842,13,3.357142857142857,47,1.0,334.0,0.041916167664670656,11.441310077034851
iisk9j1h1c6o2etcrctuohltt9,57,70774,44,13,0.0,0.0,0.0,0.22807017543859648,0.08771929824561403,0.5754813848019903,13,3.0,57,1.0,354.0,0.05367231638418079,11.331893885014866
s81eaolu1qk6vckv5vvgqbg4se,57,93806,44,13,0.0,0.0,0.0,0.22807017543859648,0.08771929824561403,0.5210260492953508,13,3.3529411764705883,57,1.0,350.0,0.04857142857142857,10.764526857850113
r0e98rtqr6192k5b8gl4ndlmha,45,50685,34,11,0.0,0.0,0.0,0.08888888888888889,0.1111111111111111,0.6020540970730697,13,2.8125,45,1.0,183.0,0.08743169398907104,7.752848938723535
b3avd2j0387kff1fs4hseklo4t,61,104479,45,16,0.0,0.0,0.0,0.06557377049180328,0.08196721311475409,0.7487335899455237,17,3.210526315789474,61,1.0,465.0,0.04086021505376344,18.989353302143993
49rbuft0lmtfjd3qn70np3lk51,58,68450,41,17,0.0,0.0,0.0,0.017241379310344827,0.08620689655172414,0.783487432241501,18,3.0526315789473686,58,1.0,439.0,0.04328018223234624,16.31702312793089
26v7bi8e0oc7p58e3s9v8eic9f,61,68866,44,17,0.0,0.0,0.0,0.09836065573770492,0.08196721311475409,0.6036705783449826,17,3.388888888888889,61,1.0,495.0,0.03636363636363636,19.683644172011235
coom33f4pfor5m2sifo3jphip8,68,109655,53,15,0.0,0.0,0.0,0.23529411764705882,0.07352941176470588,0.7252251768198796,16,3.5789473684210527,68,1.0,581.0,0.03270223752151463,19.071409016339405
ml4tnn1lkctli3fofonrj629qm,48,64644,36,12,0.0,0.0,0.0,0.125,0.10416666666666667,0.564810071321915,13,3.2,48,1.0,425.0,0.03529411764705882,20.522334970438642
9ps9ql7hbv7pcbs8mjr50e0rt8,44,65380,33,11,0.0,0.0,0.0,0.09090909090909091,0.11363636363636363,0.6132153437832746,12,2.588235294117647,44,1.0,367.0,0.04632152588555858,16.488209536484188
75ufmqjcbcd722b8qt9sdvphdi,60,93124,44,16,0.0,0.0,0.0,0.06666666666666667,0.08333333333333333,0.7092640943651071,17,3.0,60,1.0,378.0,0.05291005291005291,14.112996374500584
7el564n2rvpqj7hl5gn3b8uk8j,61,64585,44,17,0.0,0.0,0.0,0.06557377049180328,0.08196721311475409,0.7953776702103741,18,3.388888888888889,61,1.0,285.0,0.06315789473684211,8.82938705608034
rfvugmk87jtlaiilouut5sdm32,43,57302,34,9,0.0,0.0,0.0,0.23255813953488372,0.11627906976744186,0.525190222820289,10,3.0714285714285716,43,1.0,456.0,0.03070175438596491,23.42542797989192
2dog8ussjb1su485cbk44ch0b3,14,16603,12,2,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.4573660169594892,2,1.2727272727272727,14,1.0,19.0,0.5789473684210527,3.107758559686727
5kiungtfda52ttssukpf21bhqs,17,24825,14,3,0.0,0.0,0.0,0.11764705882352941,0.29411764705882354,0.5128116404165498,4,1.7,17,1.0,18.0,0.5555555555555556,2.4607647839237514
dr09rk5eagjuu87gedvdqmq3gl,52,93664,41,11,0.0,0.0,0.0,0.17307692307692307,0.09615384615384616,0.7595545253127499,12,3.25,52,1.0,247.0,0.06477732793522267,10.160017792231544
